CASEID	ID	Q1A	Q1B	Q1C1	Q1C2	Q1C3	Q1C4	Q1C5	Q1C6	Q1C7	Q1D1	Q1D2	Q1D3	Q1D4	Q1D5	Q1D6	Q1D7	Q1D8	Q1E	Q1F	Q1G	Q1H	PROSPECT	Q2A1	Q2A2	Q2A3	Q2C	N_2C1	N_2C2	N_2C3	N_2C4	Q2F1	Q2G	N_PERTME	TIC_N_1	TIC_N_2	TIC_N_3	TIC_N_4	TIC_N_5	TIC_N_6	TIC_N_7	TIC_N_8	TIC_N_9	TIC_N_10	TIC_N_11	TIC_N_12	TIC_N_13	TIC_N_14	TIC_N_15	TIC_N_16	Q3A1	Q3B1	N_Q3C1	Q3A2	Q3B2	N_Q3C2	Q3A3	Q3B3	N_Q3C3	Q3A4	Q3B4	N_Q3C4	Q3A5	Q3B5	N_Q3C5	Q3A6	Q3B6	N_Q3C6	Q3A7	Q3B7	N_Q3C7	N_Q3A8	N_Q3B8	N_Q3C8	Q3C1	Q3C2	Q3C3	Q3C4	Q3C5	Q3D	Q3E	Q3F1	Q3F2	Q3G1	Q3G2	Q3G3	Q3G4	Q3G5	Q3G6	Q3H	Q3I	N_Q3K	Q3J	N_Q3M	Q3K1	Q3K2	Q3K3	Q3K4	Q3K5	Q3K6	Q3K7	Q3K8	Q3K9	Q3K10	Q3K11	N_Q3K10	N_Q3K12	Q3L1	Q3M1	Q3L2	Q3M2	Q3L3	Q3M3	Q3L4	Q3M4	Q3N1	Q3N2	Q3N3	Q3O	Q3P	Q3Q	Q5A	Q5B1	Q5B2	Q5C1	Q5C2A	Q5C2B	Q5C2C	Q5C2D	Q5D	Q5E1	Q5E2	Q5E3	Q5F1	Q5F2	Q5G	Q5H	Q5I1	Q5I2	Q5I3	Q5I4	ZIPCODE	GENDER	WEIGHT	DISTRICT	STATE	USRCOFIX	CM_SEG	VERSION
1	   50001	5	3	0	0	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	6	1	5	 	 	 	1	1971	30	1	1	4	1	2	1	1	 	1	-1	1	5.43	3	33	 	 	3
2	   50005	3	2	5	2	2	5	0	0	2	2	2	2	2	2	2	2	 	0	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	4	1	0	2	1	 	3	1961	40	2	2	1	1	2	1	2	 	2	-1	2	.9	1	23	 	 	3
3	   50006	3	3	5	0	10	10	0	0	4	2	2	1	1	2	2	2	 	6	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	3	1926	75	6	3	3	1	2	1	2	 	2	-1	2	.99	7	8	 	 	3
4	   50007	3	3	0	0	0	1	0	0	1	2	2	2	2	2	2	2	 	0	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	5	1	0	0	4	0	2	1954	47	3	4	 	1	2	1	2	 	2	-1	2	1.06	7	10	 	 	3
5	   50008	3	2	5	5	5	5	2	1	1	2	1	2	2	2	2	2	 	1	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	1	 	2	 	 	 	 	4	1935	66	5	3	 	2	2	1	1	 	1	-1	1	1.21	7	34	 	 	3
6	   50009	4	3	2	2	5	5	0	0	0	2	2	2	2	2	2	2	 	0	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	4	1940	61	4	5	1	1	2	1	1	 	1	-1	2	.74	1	36	 	 	3
7	   50012	4	3	0	0	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	2	 	 	 	 	3	1952	49	3	3	 	1	2	1	3	 	3	-1	2	1.58	1	36	 	 	3
8	   50021	5	3	5	7	5	3	2	4	5	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	2	 	 	 	 	2	1925	76	6	3	3	1	2	1	2	 	2	-1	2	1.25	8	17	 	 	3
9	   50022	3	3	2	4	0	0	0	0	2	1	2	2	2	2	2	2	 	4	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	4	1	1	2	 	 	3	1970	31	1	5	 	2	2	1	1	 	1	-1	2	2.35	2	18	 	 	3
10	   50024	3	2	5	0	3	3	0	0	3	1	2	2	2	2	2	2	 	0	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	1	1	 	 	 	5	1954	47	3	1	4	1	2	2	 	6	9	-1	1	.94	7	11	 	 	3
